State,StateName,Population
AL,Alabama,4903185.0
AK,Alaska,731545.0
AZ,Arizona,7278717.0
AR,Arkansas,3017804.0
CA,California,39512223.0
CO,Colorado,5758736.0
CT,Connecticut,3565287.0
DE,Delaware,973764.0
FL,Florida,21477737.0
GA,Georgia,10617423.0
HI,Hawaii,1415872.0
ID,Idaho,1787065.0
IL,Illinois,12671821.0
IN,Indiana,6732219.0
IA,Iowa,3155070.0
KS,Kansas,2913314.0
KY,Kentucky,4467673.0
LA,Louisiana,4648794.0
ME,Maine,1344212.0
MD,Maryland,6045680.0
MA,Massachusetts,6892503.0
MI,Michigan,9986857.0
MN,Minnesota,5639632.0
MS,Mississippi,2976149.0
MO,Missouri,6137428.0
MT,Montana,1068778.0
NE,Nebraska,1934408.0
NV,Nevada,3080156.0
NH,New Hampshire,1359711.0
NJ,New Jersey,8882190.0
NM,New Mexico,2096829.0
NY,New York,19453561.0
NC,North Carolina,10488084.0
ND,North Dakota,762062.0
OH,Ohio,11689100.0
OK,Oklahoma,3956971.0
OR,Oregon,4217737.0
PA,Pennsylvania,12801989.0
RI,Rhode Island,1059361.0
SC,South Carolina,5148714.0
SD,South Dakota,884659.0
TN,Tennessee,6829174.0
TX,Texas,28995881.0
UT,Utah,3205958.0
VT,Vermont,623989.0
VA,Virginia,8535519.0
WA,Washington,7614893.0
WV,West Virginia,1792147.0
WI,Wisconsin,5822434.0
WY,Wyoming,578759.0
